date,scores
2014-04-01,-0.48048199407560005
2014-05-01,-0.1502695072524638
2014-06-01,-0.3313537742199901
2014-07-01,-0.3313537742199901
2014-08-01,-0.39526586844382294
2014-09-01,-0.41656989985176723
2014-10-01,0.06809681467896499
2014-11-01,-0.6562402531911403
2014-12-01,-0.1502695072524638
2015-01-01,-0.62961021393121
2015-02-01,-0.1822255543643802
2015-03-01,0.06809681467896499
2015-04-01,-0.39526586844382294
2015-05-01,-0.166247530808422
2015-06-01,0.13200890890279782
2015-07-01,-0.6402622296351821
2015-08-01,-0.29407171925608766
2015-09-01,-0.3846138527398508
2015-10-01,0.11070487749485353
2015-11-01,-0.8000424651947641
2015-12-01,0.31309317587032415
2016-01-01,-0.2035295857723245
2016-02-01,-0.2195076093282827
2016-03-01,-0.45917796266765576
